station,valid,date,precip_in,cloud_base_ft,beam_ft,best_radar,cat,temp_f_sfc,dwpf_sfc,vsby,temp_at_beam_c,temp_at_base_c,freezing_ft,pw_mm,lapse_3k,cloud_phase,beam_vs_freeze
CXY,2026-02-23 07:03,2026-02-23,0.01,600.0,8413,KLWX,beam_in_cloud,31.0,31.0,1.75,-14.67,-1.23,157,8.6,5.72,mixed,above_freeze
CXY,2026-02-23 07:06,2026-02-23,0.01,1500.0,8413,KLWX,beam_in_cloud,32.0,31.0,1.75,-14.67,-3.67,157,8.6,5.72,mixed,above_freeze
THV,2026-02-23 07:08,2026-02-23,0.01,700.0,5874,KLWX,beam_in_cloud,30.0,29.0,1.0,-10.19,-1.51,157,8.6,5.72,mixed,above_freeze
CXY,2026-02-23 07:14,2026-02-23,0.01,1100.0,8413,KLWX,beam_in_cloud,32.0,31.0,1.75,-14.67,-2.59,157,8.6,5.72,mixed,above_freeze
N79,2026-02-23 07:15,2026-02-23,0.01,600.0,5431,KDIX,beam_in_cloud,29.0,29.0,10.0,-9.4,-1.23,157,8.6,5.72,mixed,above_freeze
LNS,2026-02-23 07:16,2026-02-23,0.01,2300.0,9420,KDIX,beam_in_cloud,30.0,29.0,1.75,-16.2,-5.64,157,8.6,5.72,mixed,above_freeze
SEG,2026-02-23 07:17,2026-02-23,0.01,1500.0,6608,KCCX,beam_in_cloud,30.0,29.0,1.75,-12.16,-3.67,157,8.6,5.72,mixed,above_freeze
THV,2026-02-23 07:18,2026-02-23,0.02,700.0,5874,KLWX,beam_in_cloud,31.0,30.0,1.75,-10.19,-1.51,157,8.6,5.72,mixed,above_freeze
CXY,2026-02-23 07:23,2026-02-23,0.01,1300.0,8413,KLWX,beam_in_cloud,32.0,31.0,2.0,-14.67,-3.13,157,8.6,5.72,mixed,above_freeze
THV,2026-02-23 07:24,2026-02-23,0.02,700.0,5874,KLWX,beam_in_cloud,31.0,30.0,2.5,-10.19,-1.51,157,8.6,5.72,mixed,above_freeze
THV,2026-02-23 07:29,2026-02-23,0.02,1200.0,5874,KLWX,beam_in_cloud,31.0,30.0,3.0,-10.19,-2.86,157,8.6,5.72,mixed,above_freeze
SEG,2026-02-23 07:31,2026-02-23,0.02,1600.0,6608,KCCX,beam_in_cloud,31.0,30.0,1.5,-12.16,-3.94,157,8.6,5.72,mixed,above_freeze
LNS,2026-02-23 07:32,2026-02-23,0.01,2200.0,9420,KDIX,beam_in_cloud,30.0,29.0,2.5,-16.2,-5.4,157,8.6,5.72,mixed,above_freeze
CXY,2026-02-23 07:33,2026-02-23,0.01,,8413,KLWX,no_ceiling,32.0,31.0,2.0,-14.67,,157,8.6,5.72,mixed,above_freeze
MDT,2026-02-23 07:35,2026-02-23,0.01,2400.0,8493,KLWX,beam_in_cloud,32.0,31.0,1.5,-14.77,-5.88,157,8.6,5.72,mixed,above_freeze
N79,2026-02-23 07:35,2026-02-23,0.01,,5431,KDIX,no_ceiling,29.3,29.3,4.0,-9.4,,157,8.6,5.72,mixed,above_freeze
THV,2026-02-23 07:41,2026-02-23,0.02,,5874,KLWX,no_ceiling,31.0,30.0,4.0,-10.19,,157,8.6,5.72,mixed,above_freeze
LNS,2026-02-23 07:46,2026-02-23,0.01,3200.0,9420,KDIX,beam_in_cloud,30.0,29.0,3.0,-16.2,-7.86,157,8.6,5.72,mixed,above_freeze
CXY,2026-02-23 07:46,2026-02-23,0.02,1600.0,8413,KLWX,beam_in_cloud,32.0,31.0,1.75,-14.67,-3.94,157,8.6,5.72,mixed,above_freeze
SEG,2026-02-23 07:51,2026-02-23,0.02,2700.0,6608,KCCX,beam_in_cloud,30.2,30.2,2.5,-12.16,-6.62,157,8.6,5.72,mixed,above_freeze
SEG,2026-02-23 07:53,2026-02-23,0.02,2200.0,6608,KCCX,beam_in_cloud,31.0,30.0,2.5,-12.16,-5.4,157,8.6,5.72,mixed,above_freeze
THV,2026-02-23 07:53,2026-02-23,0.02,1900.0,5874,KLWX,beam_in_cloud,31.0,29.0,5.0,-10.19,-4.73,157,8.6,5.72,mixed,above_freeze
LNS,2026-02-23 07:53,2026-02-23,0.01,3200.0,9420,KDIX,beam_in_cloud,31.0,29.0,4.0,-16.2,-7.86,157,8.6,5.72,mixed,above_freeze
MUI,2026-02-23 07:55,2026-02-23,0.01,400.0,9189,KCCX,beam_in_cloud,32.0,31.0,2.5,-15.69,-0.68,157,8.6,5.72,mixed,above_freeze
CXY,2026-02-23 07:56,2026-02-23,0.02,1600.0,8413,KLWX,beam_in_cloud,32.0,31.0,1.5,-14.67,-3.94,157,8.6,5.72,mixed,above_freeze
MDT,2026-02-23 07:56,2026-02-23,0.01,2400.0,8493,KLWX,beam_in_cloud,32.0,31.0,1.5,-14.77,-5.88,157,8.6,5.72,mixed,above_freeze
MDT,2026-02-23 08:10,2026-02-23,0.01,800.0,8493,KLWX,beam_in_cloud,32.0,31.0,1.5,-14.77,-1.78,157,8.6,5.72,mixed,above_freeze
N79,2026-02-23 08:15,2026-02-23,0.01,,5431,KDIX,no_ceiling,30.0,30.0,5.0,-9.4,,157,8.6,5.72,mixed,above_freeze
MDT,2026-02-23 08:31,2026-02-23,0.01,1800.0,8493,KLWX,beam_in_cloud,32.0,31.0,2.0,-14.77,-4.47,157,8.6,5.72,mixed,above_freeze
N79,2026-02-23 08:35,2026-02-23,0.01,,5431,KDIX,no_ceiling,30.0,30.0,4.0,-9.4,,157,8.6,5.72,mixed,above_freeze
MUI,2026-02-23 08:55,2026-02-23,0.01,500.0,9189,KCCX,beam_in_cloud,33.8,31.5,4.0,-15.69,-0.95,157,8.6,5.72,mixed,above_freeze
MDT,2026-02-23 08:56,2026-02-23,0.01,2600.0,8493,KLWX,beam_in_cloud,32.0,30.0,3.0,-14.77,-6.37,157,8.6,5.72,mixed,above_freeze
LNS,2026-02-23 09:24,2026-02-23,0.01,1900.0,9420,KDIX,beam_in_cloud,31.0,30.0,2.0,-16.2,-4.73,157,8.6,5.72,mixed,above_freeze
LNS,2026-02-23 09:44,2026-02-23,0.01,3000.0,9420,KDIX,beam_in_cloud,31.0,30.0,2.5,-16.2,-7.36,157,8.6,5.72,mixed,above_freeze
LNS,2026-02-23 09:53,2026-02-23,0.01,,9420,KDIX,no_ceiling,31.0,30.0,3.0,-16.2,,157,8.6,5.72,mixed,above_freeze
MUI,2026-02-23 10:55,2026-02-23,0.01,1900.0,9189,KCCX,beam_in_cloud,34.7,30.0,10.0,-15.69,-4.73,157,8.6,5.72,mixed,above_freeze
CXY,2026-02-23 15:56,2026-02-23,0.01,,8413,KLWX,no_ceiling,33.0,30.0,0.5,-14.67,,157,8.6,5.72,mixed,above_freeze
MDT,2026-02-23 15:56,2026-02-23,0.01,2100.0,8493,KLWX,beam_in_cloud,33.0,31.0,2.0,-14.77,-5.18,157,8.6,5.72,mixed,above_freeze
MDT,2026-02-23 16:56,2026-02-23,0.01,1800.0,8493,KLWX,beam_in_cloud,34.0,31.0,2.0,-14.77,-4.47,157,8.6,5.72,mixed,above_freeze
N79,2026-02-23 17:15,2026-02-23,0.01,2000.0,5431,KDIX,beam_in_cloud,31.6,28.2,10.0,-9.4,-4.97,157,8.6,5.72,mixed,above_freeze
N79,2026-02-23 17:35,2026-02-23,0.01,2000.0,5431,KDIX,beam_in_cloud,32.0,28.4,10.0,-9.4,-4.97,157,8.6,5.72,mixed,above_freeze
N79,2026-02-26 19:55,2026-02-26,0.02,8000.0,5431,KDIX,definite_miss,40.5,10.8,9.0,-2.01,-3.47,4703,10.7,2.97,mixed,above_freeze
THV,2026-03-03 08:36,2026-03-03,0.01,3700.0,5874,KLWX,beam_in_cloud,29.0,27.0,4.0,2.58,5.52,0,20.6,1.17,warm,above_freeze
THV,2026-03-03 08:53,2026-03-03,0.01,3500.0,5874,KLWX,beam_in_cloud,30.0,27.0,4.0,2.58,3.17,0,20.6,1.17,warm,above_freeze
THV,2026-03-03 09:00,2026-03-03,0.01,3200.0,5874,KLWX,beam_in_cloud,29.0,27.0,4.0,2.58,0.25,0,20.6,1.17,warm,above_freeze
MDT,2026-03-03 09:10,2026-03-03,0.01,3800.0,8493,KLWX,beam_in_cloud,29.0,26.0,6.0,-2.73,5.83,0,20.6,1.17,mixed,above_freeze
THV,2026-03-03 09:15,2026-03-03,0.01,,5874,KLWX,no_ceiling,30.0,28.0,5.0,2.58,,0,20.6,1.17,warm,above_freeze
THV,2026-03-03 09:25,2026-03-03,0.01,2800.0,5874,KLWX,beam_in_cloud,30.0,28.0,5.0,2.58,0.55,0,20.6,1.17,warm,above_freeze
CXY,2026-03-03 09:30,2026-03-03,0.01,2800.0,8413,KLWX,beam_in_cloud,30.0,27.0,5.0,-2.58,0.55,0,20.6,1.17,mixed,above_freeze
MDT,2026-03-03 09:35,2026-03-03,0.01,2900.0,8493,KLWX,beam_in_cloud,29.0,26.0,5.0,-2.73,0.48,0,20.6,1.17,mixed,above_freeze
THV,2026-03-03 09:44,2026-03-03,0.01,,5874,KLWX,no_ceiling,30.0,28.0,5.0,2.58,,0,20.6,1.17,warm,above_freeze
THV,2026-03-03 09:53,2026-03-03,0.01,,5874,KLWX,no_ceiling,30.0,28.0,6.0,2.58,,0,20.6,1.17,warm,above_freeze
CXY,2026-03-03 09:56,2026-03-03,0.02,2500.0,8413,KLWX,beam_in_cloud,30.0,27.0,5.0,-2.58,0.0,0,20.6,1.17,mixed,above_freeze
MDT,2026-03-03 09:56,2026-03-03,0.02,2300.0,8493,KLWX,beam_in_cloud,30.0,27.0,4.0,-2.73,-0.4,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 10:22,2026-03-03,0.01,2500.0,6608,KCCX,beam_in_cloud,30.0,27.0,5.0,0.47,0.0,0,20.6,1.17,warm,above_freeze
MDT,2026-03-03 10:35,2026-03-03,0.01,1200.0,8493,KLWX,beam_in_cloud,29.0,27.0,5.0,-2.73,-2.42,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 10:37,2026-03-03,0.01,1900.0,6608,KCCX,beam_in_cloud,30.0,27.0,7.0,0.47,-0.34,0,20.6,1.17,warm,above_freeze
LNS,2026-03-03 10:39,2026-03-03,0.01,2000.0,9420,KDIX,beam_in_cloud,30.0,26.0,6.0,-4.37,-0.49,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 10:53,2026-03-03,0.01,1700.0,6608,KCCX,beam_in_cloud,30.0,27.0,8.0,0.47,-0.69,0,20.6,1.17,warm,above_freeze
LNS,2026-03-03 10:53,2026-03-03,0.01,1800.0,9420,KDIX,beam_in_cloud,30.0,27.0,8.0,-4.37,-0.46,0,20.6,1.17,mixed,above_freeze
MDT,2026-03-03 10:56,2026-03-03,0.01,1100.0,8493,KLWX,beam_in_cloud,30.0,27.0,5.0,-2.73,-2.31,0,20.6,1.17,mixed,above_freeze
CXY,2026-03-03 11:07,2026-03-03,0.01,1000.0,8413,KLWX,beam_in_cloud,30.0,27.0,6.0,-2.58,-2.19,0,20.6,1.17,mixed,above_freeze
CXY,2026-03-03 11:13,2026-03-03,0.01,900.0,8413,KLWX,beam_in_cloud,30.0,27.0,6.0,-2.58,-2.08,0,20.6,1.17,mixed,above_freeze
CXY,2026-03-03 11:43,2026-03-03,0.02,1100.0,8413,KLWX,beam_in_cloud,30.0,27.0,5.0,-2.58,-2.31,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 11:49,2026-03-03,0.01,1600.0,6608,KCCX,beam_in_cloud,30.2,28.4,5.0,0.47,-1.7,0,20.6,1.17,warm,above_freeze
CXY,2026-03-03 11:52,2026-03-03,0.02,900.0,8413,KLWX,beam_in_cloud,30.2,28.4,2.0,-2.58,-2.08,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 11:53,2026-03-03,0.01,1500.0,6608,KCCX,beam_in_cloud,31.0,28.0,5.0,0.47,-2.19,0,20.6,1.17,warm,above_freeze
CXY,2026-03-03 11:56,2026-03-03,0.02,900.0,8413,KLWX,beam_in_cloud,30.0,28.0,2.0,-2.58,-2.08,0,20.6,1.17,mixed,above_freeze
MDT,2026-03-03 11:56,2026-03-03,0.01,1000.0,8493,KLWX,beam_in_cloud,30.0,28.0,4.0,-2.73,-2.19,0,20.6,1.17,mixed,above_freeze
N79,2026-03-03 12:15,2026-03-03,0.01,,5431,KDIX,no_ceiling,30.2,28.2,6.0,3.89,,0,20.6,1.17,warm,above_freeze
CXY,2026-03-03 12:31,2026-03-03,0.01,900.0,8413,KLWX,beam_in_cloud,30.0,27.0,2.0,-2.58,-2.08,0,20.6,1.17,mixed,above_freeze
MDT,2026-03-03 12:33,2026-03-03,0.01,900.0,8493,KLWX,beam_in_cloud,30.0,28.0,4.0,-2.73,-2.08,0,20.6,1.17,mixed,above_freeze
N79,2026-03-03 12:35,2026-03-03,0.01,,5431,KDIX,no_ceiling,30.0,28.4,7.0,3.89,,0,20.6,1.17,warm,above_freeze
MDT,2026-03-03 12:45,2026-03-03,0.01,900.0,8493,KLWX,beam_in_cloud,30.0,28.0,4.0,-2.73,-2.08,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 12:53,2026-03-03,0.01,1300.0,6608,KCCX,beam_in_cloud,31.0,28.0,6.0,0.47,-2.46,0,20.6,1.17,warm,above_freeze
N79,2026-03-03 12:55,2026-03-03,0.01,,5431,KDIX,no_ceiling,30.2,28.6,6.0,3.89,,0,20.6,1.17,warm,above_freeze
CXY,2026-03-03 12:56,2026-03-03,0.01,900.0,8413,KLWX,beam_in_cloud,30.0,27.0,2.0,-2.58,-2.08,0,20.6,1.17,mixed,above_freeze
MDT,2026-03-03 12:56,2026-03-03,0.01,900.0,8493,KLWX,beam_in_cloud,30.0,28.0,4.0,-2.73,-2.08,0,20.6,1.17,mixed,above_freeze
CXY,2026-03-03 13:56,2026-03-03,0.01,700.0,8413,KLWX,beam_in_cloud,30.0,28.0,2.5,-2.58,-1.81,0,20.6,1.17,mixed,above_freeze
CXY,2026-03-03 14:03,2026-03-03,0.01,700.0,8413,KLWX,beam_in_cloud,31.0,28.0,4.0,-2.58,-1.81,0,20.6,1.17,mixed,above_freeze
THV,2026-03-03 14:10,2026-03-03,0.01,800.0,5874,KLWX,beam_in_cloud,32.0,30.0,2.5,2.58,-1.97,0,20.6,1.17,warm,above_freeze
THV,2026-03-03 14:18,2026-03-03,0.02,800.0,5874,KLWX,beam_in_cloud,31.0,30.0,2.0,2.58,-1.97,0,20.6,1.17,warm,above_freeze
CXY,2026-03-03 14:18,2026-03-03,0.03,700.0,8413,KLWX,beam_in_cloud,31.0,29.0,2.0,-2.58,-1.81,0,20.6,1.17,mixed,above_freeze
THV,2026-03-03 14:22,2026-03-03,0.02,600.0,5874,KLWX,beam_in_cloud,31.0,30.0,1.75,2.58,-1.59,0,20.6,1.17,warm,above_freeze
MDT,2026-03-03 14:38,2026-03-03,0.04,800.0,8493,KLWX,beam_in_cloud,31.0,29.0,4.0,-2.73,-1.97,0,20.6,1.17,mixed,above_freeze
THV,2026-03-03 14:51,2026-03-03,0.02,600.0,5874,KLWX,beam_in_cloud,30.2,30.2,1.25,2.58,-1.59,0,20.6,1.17,warm,above_freeze
THV,2026-03-03 14:53,2026-03-03,0.02,500.0,5874,KLWX,beam_in_cloud,32.0,31.0,1.25,2.58,-1.34,0,20.6,1.17,warm,above_freeze
CXY,2026-03-03 14:56,2026-03-03,0.03,600.0,8413,KLWX,beam_in_cloud,31.0,29.0,2.0,-2.58,-1.59,0,20.6,1.17,mixed,above_freeze
MDT,2026-03-03 14:56,2026-03-03,0.04,800.0,8493,KLWX,beam_in_cloud,31.0,29.0,3.0,-2.73,-1.97,0,20.6,1.17,mixed,above_freeze
LNS,2026-03-03 15:16,2026-03-03,0.01,800.0,9420,KDIX,beam_in_cloud,32.0,30.0,2.5,-4.37,-1.97,0,20.6,1.17,mixed,above_freeze
LNS,2026-03-03 15:36,2026-03-03,0.01,700.0,9420,KDIX,beam_in_cloud,32.0,31.0,1.5,-4.37,-1.81,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 15:45,2026-03-03,0.01,900.0,6608,KCCX,beam_in_cloud,32.0,30.0,3.0,0.47,-2.08,0,20.6,1.17,warm,above_freeze
SEG,2026-03-03 15:53,2026-03-03,0.01,1000.0,6608,KCCX,beam_in_cloud,32.0,30.0,2.5,0.47,-2.19,0,20.6,1.17,warm,above_freeze
LNS,2026-03-03 15:53,2026-03-03,0.01,700.0,9420,KDIX,beam_in_cloud,32.0,31.0,1.5,-4.37,-1.81,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 16:12,2026-03-03,0.01,900.0,6608,KCCX,beam_in_cloud,32.0,30.0,2.5,0.47,-2.08,0,20.6,1.17,warm,above_freeze
SEG,2026-03-03 16:19,2026-03-03,0.01,800.0,6608,KCCX,beam_in_cloud,32.0,30.0,3.0,0.47,-1.97,0,20.6,1.17,warm,above_freeze
RDG,2026-03-03 16:24,2026-03-03,0.04,900.0,7642,KDIX,beam_in_cloud,35.0,31.0,3.0,-1.3,-2.08,0,20.6,1.17,mixed,above_freeze
LNS,2026-03-03 16:39,2026-03-03,0.01,300.0,9420,KDIX,beam_in_cloud,33.0,32.0,0.75,-4.37,-0.81,0,20.6,1.17,mixed,above_freeze
LNS,2026-03-03 16:46,2026-03-03,0.01,300.0,9420,KDIX,beam_in_cloud,33.0,33.0,1.0,-4.37,-0.81,0,20.6,1.17,mixed,above_freeze
MDT,2026-03-03 16:48,2026-03-03,0.01,600.0,8493,KLWX,beam_in_cloud,32.0,31.0,0.75,-2.73,-1.59,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 16:53,2026-03-03,0.01,600.0,6608,KCCX,beam_in_cloud,32.0,31.0,2.5,0.47,-1.59,0,20.6,1.17,warm,above_freeze
LNS,2026-03-03 16:53,2026-03-03,0.01,300.0,9420,KDIX,beam_in_cloud,33.0,33.0,1.0,-4.37,-0.81,0,20.6,1.17,mixed,above_freeze
RDG,2026-03-03 16:54,2026-03-03,0.05,800.0,7642,KDIX,beam_in_cloud,35.0,32.0,3.0,-1.3,-1.97,0,20.6,1.17,mixed,above_freeze
MDT,2026-03-03 16:56,2026-03-03,0.01,600.0,8493,KLWX,beam_in_cloud,32.0,31.0,0.75,-2.73,-1.59,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 17:15,2026-03-03,0.01,600.0,6608,KCCX,beam_in_cloud,32.0,31.0,2.5,0.47,-1.59,0,20.6,1.17,warm,above_freeze
THV,2026-03-03 17:17,2026-03-03,0.01,400.0,5874,KLWX,beam_in_cloud,33.0,32.0,1.0,2.58,-1.08,0,20.6,1.17,warm,above_freeze
SEG,2026-03-03 17:25,2026-03-03,0.02,900.0,6608,KCCX,beam_in_cloud,32.0,31.0,3.0,0.47,-2.08,0,20.6,1.17,warm,above_freeze
THV,2026-03-03 17:30,2026-03-03,0.01,300.0,5874,KLWX,beam_in_cloud,33.0,32.0,1.25,2.58,-0.81,0,20.6,1.17,warm,above_freeze
N79,2026-03-03 17:35,2026-03-03,0.03,,5431,KDIX,no_ceiling,33.8,33.6,4.0,3.89,,0,20.6,1.17,warm,above_freeze
CXY,2026-03-03 17:41,2026-03-03,0.01,300.0,8413,KLWX,beam_in_cloud,32.0,31.0,1.0,-2.58,-0.81,0,20.6,1.17,mixed,above_freeze
CXY,2026-03-03 17:50,2026-03-03,0.01,400.0,8413,KLWX,beam_in_cloud,32.0,30.2,0.75,-2.58,-1.08,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 17:53,2026-03-03,0.02,900.0,6608,KCCX,beam_in_cloud,33.0,31.0,4.0,0.47,-2.08,0,20.6,1.17,warm,above_freeze
THV,2026-03-03 17:53,2026-03-03,0.02,300.0,5874,KLWX,beam_in_cloud,33.0,32.0,1.75,2.58,-0.81,0,20.6,1.17,warm,above_freeze
LNS,2026-03-03 17:53,2026-03-03,0.01,300.0,9420,KDIX,beam_in_cloud,34.0,33.0,1.25,-4.37,-0.81,0,20.6,1.17,mixed,above_freeze
ZER,2026-03-03 17:55,2026-03-03,0.03,100.0,8582,KCCX,beam_in_cloud,30.2,30.2,0.25,-2.89,-0.27,0,20.6,1.17,mixed,above_freeze
N79,2026-03-03 17:55,2026-03-03,0.05,,5431,KDIX,no_ceiling,34.0,34.0,5.0,3.89,,0,20.6,1.17,warm,above_freeze
CXY,2026-03-03 17:56,2026-03-03,0.02,400.0,8413,KLWX,beam_in_cloud,32.0,31.0,0.75,-2.58,-1.08,0,20.6,1.17,mixed,above_freeze
MDT,2026-03-03 17:56,2026-03-03,0.01,400.0,8493,KLWX,beam_in_cloud,32.0,32.0,1.0,-2.73,-1.08,0,20.6,1.17,mixed,above_freeze
RDG,2026-03-03 18:15,2026-03-03,0.01,500.0,7642,KDIX,beam_in_cloud,36.0,33.0,1.0,-1.3,-1.34,0,20.6,1.17,mixed,above_freeze
RDG,2026-03-03 18:25,2026-03-03,0.02,400.0,7642,KDIX,beam_in_cloud,36.0,33.0,1.25,-1.3,-1.08,0,20.6,1.17,mixed,above_freeze
HZL,2026-03-03 18:35,2026-03-03,0.01,300.0,7429,KBGM,beam_in_cloud,32.0,32.0,7.0,-0.94,-0.81,0,20.6,1.17,mixed,above_freeze
N79,2026-03-03 18:35,2026-03-03,0.01,,5431,KDIX,no_ceiling,34.5,34.3,4.0,3.89,,0,20.6,1.17,warm,above_freeze
MDT,2026-03-03 18:38,2026-03-03,0.01,400.0,8493,KLWX,beam_in_cloud,33.0,32.0,0.75,-2.73,-1.08,0,20.6,1.17,mixed,above_freeze
RDG,2026-03-03 18:39,2026-03-03,0.02,400.0,7642,KDIX,beam_in_cloud,36.0,33.0,2.0,-1.3,-1.08,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 18:43,2026-03-03,0.05,800.0,6608,KCCX,beam_in_cloud,33.0,31.0,4.0,0.47,-1.97,0,20.6,1.17,warm,above_freeze
RDG,2026-03-03 18:50,2026-03-03,0.03,400.0,7642,KDIX,beam_in_cloud,35.6,33.8,1.75,-1.3,-1.08,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 18:53,2026-03-03,0.05,900.0,6608,KCCX,beam_in_cloud,33.0,31.0,6.0,0.47,-2.08,0,20.6,1.17,warm,above_freeze
LNS,2026-03-03 18:53,2026-03-03,0.02,300.0,9420,KDIX,beam_in_cloud,35.0,34.0,1.5,-4.37,-0.81,0,20.6,1.17,mixed,above_freeze
RDG,2026-03-03 18:54,2026-03-03,0.03,400.0,7642,KDIX,beam_in_cloud,36.0,34.0,1.5,-1.3,-1.08,0,20.6,1.17,mixed,above_freeze
HZL,2026-03-03 18:55,2026-03-03,0.01,300.0,7429,KBGM,beam_in_cloud,32.0,32.0,5.0,-0.94,-0.81,0,20.6,1.17,mixed,above_freeze
ZER,2026-03-03 18:55,2026-03-03,0.02,100.0,8582,KCCX,beam_in_cloud,30.2,30.2,0.25,-2.89,-0.27,0,20.6,1.17,mixed,above_freeze
N79,2026-03-03 18:55,2026-03-03,0.03,,5431,KDIX,no_ceiling,35.0,34.3,5.0,3.89,,0,20.6,1.17,warm,above_freeze
MDT,2026-03-03 18:56,2026-03-03,0.02,500.0,8493,KLWX,beam_in_cloud,33.0,32.0,0.75,-2.73,-1.34,0,20.6,1.17,mixed,above_freeze
ZER,2026-03-03 19:15,2026-03-03,0.01,100.0,8582,KCCX,beam_in_cloud,30.2,30.2,0.25,-2.89,-0.27,0,20.6,1.17,mixed,above_freeze
N79,2026-03-03 19:15,2026-03-03,0.01,,5431,KDIX,no_ceiling,35.2,34.7,7.0,3.89,,0,20.6,1.17,warm,above_freeze
SEG,2026-03-03 19:29,2026-03-03,0.01,900.0,6608,KCCX,beam_in_cloud,33.0,31.0,2.0,0.47,-2.08,0,20.6,1.17,warm,above_freeze
ZER,2026-03-03 19:35,2026-03-03,0.01,100.0,8582,KCCX,beam_in_cloud,32.0,32.0,0.25,-2.89,-0.27,0,20.6,1.17,mixed,above_freeze
N79,2026-03-03 19:35,2026-03-03,0.02,,5431,KDIX,no_ceiling,35.0,34.5,7.0,3.89,,0,20.6,1.17,warm,above_freeze
SEG,2026-03-03 19:40,2026-03-03,0.01,700.0,6608,KCCX,beam_in_cloud,33.0,31.0,1.75,0.47,-1.81,0,20.6,1.17,warm,above_freeze
SEG,2026-03-03 19:53,2026-03-03,0.01,600.0,6608,KCCX,beam_in_cloud,33.0,32.0,1.75,0.47,-1.59,0,20.6,1.17,warm,above_freeze
ZER,2026-03-03 19:55,2026-03-03,0.01,100.0,8582,KCCX,beam_in_cloud,32.0,32.0,0.25,-2.89,-0.27,0,20.6,1.17,mixed,above_freeze
N79,2026-03-03 19:55,2026-03-03,0.02,,5431,KDIX,no_ceiling,35.0,34.7,9.0,3.89,,0,20.6,1.17,warm,above_freeze
RDG,2026-03-03 20:54,2026-03-03,0.01,500.0,7642,KDIX,beam_in_cloud,37.0,34.0,1.0,-1.3,-1.34,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 21:41,2026-03-03,0.01,500.0,6608,KCCX,beam_in_cloud,34.0,33.0,2.5,0.47,-1.34,0,20.6,1.17,warm,above_freeze
SEG,2026-03-03 21:53,2026-03-03,0.01,500.0,6608,KCCX,beam_in_cloud,34.0,33.0,2.5,0.47,-1.34,0,20.6,1.17,warm,above_freeze
SEG,2026-03-03 22:14,2026-03-03,0.02,500.0,6608,KCCX,beam_in_cloud,34.0,33.0,3.0,0.47,-1.34,0,20.6,1.17,warm,above_freeze
N79,2026-03-03 22:15,2026-03-03,0.01,600.0,5431,KDIX,beam_in_cloud,35.2,35.2,6.0,3.89,-1.59,0,20.6,1.17,warm,above_freeze
N79,2026-03-03 22:35,2026-03-03,0.02,700.0,5431,KDIX,beam_in_cloud,35.2,35.2,7.0,3.89,-1.81,0,20.6,1.17,warm,above_freeze
SEG,2026-03-03 22:38,2026-03-03,0.02,400.0,6608,KCCX,beam_in_cloud,34.0,33.0,4.0,0.47,-1.08,0,20.6,1.17,warm,above_freeze
RDG,2026-03-03 22:43,2026-03-03,0.01,400.0,7642,KDIX,beam_in_cloud,37.0,35.0,1.0,-1.3,-1.08,0,20.6,1.17,mixed,above_freeze
CXY,2026-03-03 22:44,2026-03-03,0.02,200.0,8413,KLWX,beam_in_cloud,35.0,34.0,0.5,-2.58,-0.54,0,20.6,1.17,mixed,above_freeze
RDG,2026-03-03 22:52,2026-03-03,0.01,500.0,7642,KDIX,beam_in_cloud,37.4,35.6,1.5,-1.3,-1.34,0,20.6,1.17,mixed,above_freeze
SEG,2026-03-03 22:53,2026-03-03,0.03,400.0,6608,KCCX,beam_in_cloud,34.0,33.0,5.0,0.47,-1.08,0,20.6,1.17,warm,above_freeze
THV,2026-03-03 22:53,2026-03-03,0.03,400.0,5874,KLWX,beam_in_cloud,36.0,35.0,3.0,2.58,-1.08,0,20.6,1.17,warm,above_freeze
LNS,2026-03-03 22:53,2026-03-03,0.01,,9420,KDIX,no_ceiling,35.0,35.0,0.75,-4.37,,0,20.6,1.17,mixed,above_freeze
RDG,2026-03-03 22:54,2026-03-03,0.01,500.0,7642,KDIX,beam_in_cloud,37.0,35.0,1.5,-1.3,-1.34,0,20.6,1.17,mixed,above_freeze
N79,2026-03-03 22:55,2026-03-03,0.02,700.0,5431,KDIX,beam_in_cloud,35.4,35.4,7.0,3.89,-1.81,0,20.6,1.17,warm,above_freeze
CXY,2026-03-03 22:56,2026-03-03,0.03,200.0,8413,KLWX,beam_in_cloud,34.0,34.0,0.5,-2.58,-0.54,0,20.6,1.17,mixed,above_freeze
MDT,2026-03-03 22:56,2026-03-03,0.02,,8493,KLWX,no_ceiling,34.0,34.0,0.25,-2.73,,0,20.6,1.17,mixed,above_freeze
