station,bufkit,valid,precip,stratum,cloud_base,cat,rap_date,rap_run,rap_fhr,rap_ok,sfc_tmpc,sfc_dwpc,freeze_ft,pwat_mm,cape,lclp_mb,lapse_3k,temp_beam_c,temp_base_c,dwpc_beam_c,rh_beam_pct,sat_deficit_c,cloud_phase,beam_vs_freeze,n_levels
MDT,kmdt,2026-01-09 19:46,0.03,light,1300.0,beam_in_cloud,2026/01/09,12,7,True,10.34,6.36,10799,30.37,0.0,941.0,2.92,3.57,7.09,2.58,93.2,1.0,warm,below_freeze,50
MDT,kmdt,2026-03-03 12:56,0.01,light,900.0,beam_in_cloud,2026/03/03,12,0,True,-1.56,-3.36,3876,19.09,0.0,984.84,0.54,-2.17,-3.25,-2.3,99.0,0.1,mixed,above_freeze,50
MDT,kmdt,2026-02-16 01:55,0.02,light,1000.0,beam_in_cloud,2026/02/16,0,1,True,0.34,0.22,3119,16.28,0.0,995.44,3.19,-7.75,0.38,-8.46,94.6,0.7,mixed,above_freeze,50
MDT,kmdt,2026-02-23 01:19,0.02,light,600.0,beam_in_cloud,2026/02/23,0,1,True,0.74,0.39,297,10.2,0.0,989.1,6.07,-14.97,-0.59,-16.24,90.0,1.3,mixed,above_freeze,50
MDT,kmdt,2026-01-10 21:56,0.02,light,600.0,beam_in_cloud,2026/01/10,12,9,True,6.94,6.25,9744,28.35,0.0,983.56,2.31,2.0,5.69,0.72,91.2,1.3,warm,bright_band,50
MDT,kmdt,2026-01-25 15:37,0.1,moderate,,no_ceiling,2026/01/25,12,3,True,-10.86,-12.81,,16.64,0.0,977.67,-3.13,-2.44,,-2.58,99.0,0.1,mixed,,50
MDT,kmdt,2026-03-08 02:10,0.05,moderate,2500.0,beam_in_cloud,2026/03/08,0,2,True,8.74,8.24,11324,35.32,0.0,988.94,2.06,4.88,14.48,3.6,91.4,1.3,warm,below_freeze,50
MDT,kmdt,2026-03-03 23:40,0.05,moderate,500.0,beam_in_cloud,2026/03/03,12,11,True,3.54,3.14,7817,24.63,0.0,1001.4,2.11,-1.16,2.72,-1.26,99.3,0.1,mixed,bright_band,50
MDT,kmdt,2026-02-19 22:56,0.13,moderate,1200.0,beam_in_cloud,2026/02/19,12,10,True,5.34,4.42,5221,19.95,0.0,983.59,4.02,-4.97,3.14,-5.58,95.5,0.6,mixed,above_freeze,50
MDT,kmdt,2026-01-25 11:56,0.12,moderate,,no_ceiling,2026/01/25,0,11,True,-12.16,-14.03,,13.17,0.0,983.18,-1.66,-7.75,,-8.54,94.0,0.8,mixed,,50
MDT,kmdt,2026-03-17 03:45,0.06,moderate,600.0,beam_in_cloud,2026/03/17,0,3,True,1.94,1.01,743,17.55,11.13,968.43,1.64,-2.67,0.34,-2.77,99.3,0.1,mixed,above_freeze,50
MDT,kmdt,2026-01-25 17:49,0.17,heavy,,no_ceiling,2026/01/25,12,5,True,-8.96,-10.85,,18.4,0.0,974.31,-2.83,-1.49,,-1.65,98.8,0.2,mixed,,50
MDT,kmdt,2026-01-25 16:56,0.16,heavy,,no_ceiling,2026/01/25,12,4,True,-9.86,-11.75,,17.34,0.0,976.75,-3.02,-1.78,,-1.93,98.9,0.1,mixed,,50
MDT,kmdt,2026-03-23 07:51,0.15,heavy,8000.0,beam_in_cloud,2026/03/23,0,7,True,10.74,8.2,10870,31.27,0.0,953.24,2.87,3.79,4.53,3.69,99.3,0.1,warm,below_freeze,50
MDT,kmdt,2026-03-06 02:42,0.17,heavy,700.0,beam_in_cloud,2026/03/06,0,2,True,7.34,6.98,10129,32.99,0.0,998.09,2.14,2.96,6.01,2.79,98.8,0.2,warm,bright_band,50
MDT,kmdt,2026-03-27 03:56,0.18,heavy,7500.0,beam_in_cloud,2026/03/27,0,3,True,20.64,13.25,10327,34.49,2.06,884.87,6.78,3.74,6.33,3.33,97.2,0.4,warm,bright_band,50
MDT,kmdt,2026-03-06 02:56,0.2,heavy,900.0,beam_in_cloud,2026/03/06,0,2,True,7.34,6.98,10129,32.99,0.0,998.09,2.14,2.96,5.75,2.79,98.8,0.2,warm,bright_band,50
MDT,kmdt,2026-03-11 23:19,0.51,extreme,2900.0,beam_in_cloud,2026/03/11,12,11,True,21.14,19.19,11687,41.19,805.24,961.2,6.14,5.34,16.37,2.8,83.7,2.5,warm,below_freeze,50
MDT,kmdt,2026-03-11 23:56,0.53,extreme,,no_ceiling,2026/03/11,12,11,True,21.14,19.19,11687,41.19,805.24,961.2,6.14,5.34,,2.8,83.7,2.5,warm,below_freeze,50
MDT,kmdt,2026-03-11 23:33,0.53,extreme,,no_ceiling,2026/03/11,12,11,True,21.14,19.19,11687,41.19,805.24,961.2,6.14,5.34,,2.8,83.7,2.5,warm,below_freeze,50
MDT,kmdt,2026-03-11 23:45,0.53,extreme,,no_ceiling,2026/03/11,12,11,True,21.14,19.19,11687,41.19,805.24,961.2,6.14,5.34,,2.8,83.7,2.5,warm,below_freeze,50
MDT,kmdt,2026-03-11 23:16,0.5,extreme,2900.0,beam_in_cloud,2026/03/11,12,11,True,21.14,19.19,11687,41.19,805.24,961.2,6.14,5.34,16.37,2.8,83.7,2.5,warm,below_freeze,50
